epoch,loss
1,1.9829572576449623
2,1.3061455750007873
3,0.9733653803115715
4,0.8050090819914967
5,0.7047417827570108
6,0.6394744676821775
7,0.5875209460634667
8,0.5407462688778509
9,0.49750613888253026
10,0.461027495038789
11,0.4278266505677817
12,0.3965386857769128
13,0.36797481938910637
14,0.3445059067484285
15,0.324244183096995
16,0.31050368320586075
17,0.29835751501799646
18,0.2890604300253681
19,0.2798589561730305
20,0.2708989740101132
21,0.2646182890512796
22,0.2573629409980291
23,0.25141802936125157
24,0.24499205894657036
25,0.24154826287410533
26,0.23639696266954896
27,0.23142295898293763
28,0.22738133676683725
29,0.22365152673013428
30,0.21982646106021492
31,0.21705158029410884
32,0.21413041005876146
33,0.2110841883374239
34,0.2078906706234476
35,0.20594851373593565
36,0.20380953659237958
37,0.20233658020859208
38,0.2000528090933302
39,0.19856634191962194
40,0.1970218645631155
41,0.19568195373717465
42,0.1942824597305644
43,0.19322535680777736
44,0.19210981133221183
45,0.19113155126746403
46,0.19053211713285206
47,0.1895136713092007
48,0.18902302089768813
49,0.18813343600495092
50,0.18773995700484908
