epoch,loss
1,6.92025420625331
2,6.917132183656854
3,6.905763553360761
4,6.882836147890252
5,6.83058185900672
6,6.771583767260536
7,6.739279124696376
8,6.67224694914737
9,6.667914576449637
10,6.618027379957296
11,6.653978016416906
12,6.635226096137095
13,6.614513041609425
14,6.592808190038649
15,6.5460567151085804
16,6.60898373490673
17,6.606320963067524
18,6.56826114654541
19,6.588851880219023
20,6.547434620938058
21,6.598063719474663
22,6.508088491730771
23,6.522122795298948
24,6.482821698916161
25,6.480396246505996
26,6.418833425489523
27,6.4720253540297685
28,6.503565271021956
29,6.404019759873212
30,6.482406220193637
31,6.46749530404301
32,6.421143766176903
33,6.373489598096428
34,6.339174949516685
35,6.390106888140663
36,6.3920841863599875
37,6.460099996146509
38,6.515887114961268
39,6.395841420707056
40,6.454381271944207
41,6.447570380517992
42,6.412133443153511
43,6.337760795981197
44,6.399651874930171
45,6.4027428142095015
46,6.383452795319638
47,6.406856997538421
48,6.316917241629907
49,6.2050121759964245
50,6.32837736000449
51,6.402742232306529
52,6.34301642240104
53,6.302196122832218
54,6.353524280806719
55,6.356228295019117
56,6.280417216026176
57,6.364421335317321
58,6.406377962080099
59,6.206665362341929
60,6.311466160467115
61,6.268586886131157
62,6.267162250260175
63,6.246808536982132
64,6.237445758560956
65,6.264056060273768
66,6.2579826338816495
67,6.180747743380272
68,6.258121175281072
69,6.185531656620866
70,6.2549052238464355
71,6.175742456468485
72,6.218510062007581
73,6.282943289158708
74,6.124917345531916
75,6.236915491395077
76,6.167089834051617
77,6.141478490021269
78,6.025589724718514
79,6.1404924069420765
80,6.168068336228193
81,6.07496149257078
82,6.191180738352113
83,6.195247730966342
84,6.143994056572349
85,6.148018917794955
86,6.180391917794438
87,6.104941222627284
88,6.081202442363157
89,6.171868817280915
90,6.107645042872025
91,5.971597913968361
92,6.16922549069938
93,6.192403777170989
94,6.096793611170882
95,6.025750257201114
96,6.098256030325162
97,6.04650117583194
98,6.125741740404549
99,6.098917597431248
100,6.06936580043728
101,5.976119873887401
102,6.0041047112416415
103,5.961028082896087
104,6.085097717026533
105,6.101172253236932
106,5.886855909379862
107,6.079498824426683
108,5.965122748229463
109,5.99868983737493
110,5.931364043284271
111,6.000174595137774
112,5.8713929127838655
113,5.957911790427515
114,5.9463782472125555
115,5.9995600409426935
116,6.06797208624371
117,6.021153967259294
118,6.011980194156453
119,6.076802358788959
120,5.950759863449355
121,5.966175152083575
122,5.874228235018456
123,5.935324668884277
124,5.9514799360501565
125,6.11031866881807
126,5.9341563289448365
127,5.945357767202086
128,5.991617687677933
129,5.993044174323647
130,5.92389158475197
131,5.853822627310025
132,5.853160357071181
133,5.968473175824699
134,5.87790232189631
135,6.023033966452388
136,5.857161586567507
137,5.744672427743168
138,5.935067451606362
139,5.934211941088661
140,5.904401965060477
141,6.026101653858767
142,5.856278807429944
143,5.9852516449103925
144,5.810965626926746
145,5.930754217050843
146,5.686964099690066
147,5.8611964047965355
148,6.014043040194754
149,5.87091914678024
150,5.91515213756238
151,5.90598273681382
152,5.791432469578113
153,6.073126542366158
154,5.903245578377934
155,5.955938185675669
156,5.964719416731495
157,5.880684941501941
158,5.913009053569729
159,5.816639730485819
160,5.883288440057787
161,5.931588552765927
162,5.900731644387973
163,5.725908942141776
164,5.959850594148797
165,5.969661260055283
166,5.845825494345972
167,5.82628004429704
168,5.646347199456167
169,5.601919861163124
170,5.889303684234619
171,5.922598887298067
172,5.8031641507552845
173,5.665531134201308
174,5.8612949484485695
175,5.7784905756934215
176,5.8050216497001
177,5.862804986662784
178,5.822212526353739
179,5.887953119762873
180,6.027552612757279
181,5.810212919267557
182,5.987855426335739
183,5.887334742788541
184,5.918714410167629
185,5.818081395100739
186,5.744436894432973
187,5.758230993303202
188,5.730777708150573
189,5.867077180894754
190,5.876719450546523
191,5.914946354041665
192,5.775522393695379
193,5.8813911454152255
194,5.755340616581804
195,5.752087488012799
196,5.754124358548957
197,5.964747129860571
198,5.6263869414895264
199,5.892186649775101
200,5.858521986815889
201,5.889167793726517
202,5.774768506066274
203,5.792534157381219
204,5.74794409234645
205,5.597627017457606
206,5.865607027280128
207,5.607910180495957
208,5.782601421162234
209,5.689686961093192
210,5.71874702582925
211,5.644719245070118
212,5.6872027041548385
213,5.788109019651252
214,5.761876453787593
215,5.5308509034625555
216,5.685650356745316
217,5.6404520293413585
218,5.589022321216131
219,5.769216278852043
220,5.677094871714964
221,5.863301058947029
222,5.661908117391295
223,5.575831243547342
224,5.66009074550564
225,5.617552377409854
226,5.71860486370022
227,5.807123515565516
228,5.653770972106416
229,5.667857881319725
230,5.701671729653569
231,5.670835729372704
232,5.639412160647118
233,5.799457655114643
234,5.721465232008595
235,5.894314604290461
236,5.713334301770744
237,5.6031015121330645
238,5.850593962911832
239,5.747730303618868
240,5.790618694434731
241,5.734141333628509
242,5.713730339276588
243,5.756796667131327
244,5.528387457637463
245,5.690326698755814
246,5.696433115813692
247,5.7467848405999655
248,5.63291563421993
249,5.69649932344081
250,5.741205554897502
251,5.60911993253029
252,5.629110538353355
253,5.746805974992655
254,5.8070394629139015
255,5.721930649320958
256,5.491903806136826
257,5.672452611438299
258,5.693976272970943
259,5.59289688983206
260,5.671879938093283
261,5.800336223537639
262,5.581560045985852
263,5.694802219584837
264,5.7812010959043345
265,5.65977994466232
266,5.57400136882976
267,5.753218869031486
268,5.8266955553475075
269,5.7269820924532615
270,5.53724237215721
271,5.73525437662157
272,5.646286552235232
273,5.751965635913914
274,5.535315392381054
275,5.771737599776963
276,5.718639074745825
277,5.871761087643898
278,5.696061425289865
279,5.695022995189085
280,5.5965627250024825
281,5.704966585514909
282,5.615956678228863
283,5.74612817925922
284,5.624831070334224
285,5.648849576206531
286,5.925362570811126
287,5.5296141818418345
288,5.71105907731137
289,5.491134724374545
290,5.562821582212287
291,5.531414468409651
292,5.655060331700212
293,5.7898334163730425
294,5.611730276528052
295,5.5806626788640425
296,5.8263045003858664
297,5.638688418824794
298,5.644281468148959
299,5.729632232148768
300,5.629994198427362
